Year,Category,Nominee,Additional Info,Won?
1995,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Hugh Grant,Four Weddings and a Funeral,W
1995,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Arnold Schwarzenegger,Junior,N
1995,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Jim Carrey,The Mask,N
1995,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Johnny Depp,Ed Wood,N
1995,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Terence Stamp,"The Adventures of Priscilla, Queen of the Desert",N
1995,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Edward James Olmos,The Burning Season,W
1995,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",David Hyde-Pierce,Frasier,N
1995,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Fyvush Finkel,Picket Fences,N
1995,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Jason Alexander,Seinfeld,N
1995,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",John Malkovich,Heart of Darkness,N
1995,Best Performance by an Actor in a Supporting Role in any Motion Picture,Martin Landau,Ed Wood,W
1995,Best Performance by an Actor in a Supporting Role in any Motion Picture,Gary Sinise,Forrest Gump,N
1995,Best Performance by an Actor in a Supporting Role in any Motion Picture,John Turturro,Quiz Show,N
1995,Best Performance by an Actor in a Supporting Role in any Motion Picture,Kevin Bacon,The River Wild,N
1995,Best Performance by an Actor in a Supporting Role in any Motion Picture,Samuel L. Jackson,Pulp Fiction,N
1995,Best Performance by an Actor in a Television Series - Musical or Comedy,Tim Allen,Home Improvement,W
1995,Best Performance by an Actor in a Television Series - Musical or Comedy,Craig T. Nelson,Coach,N
1995,Best Performance by an Actor in a Television Series - Musical or Comedy,Garry Shandling,The Larry Sanders Show,N
1995,Best Performance by an Actor in a Television Series - Musical or Comedy,Jerry Seinfeld,Seinfeld,N
1995,Best Performance by an Actor in a Television Series - Musical or Comedy,Kelsey Grammer,Frasier,N
1995,Best Performance by an Actor in a Television Series - Musical or Comedy,Paul Reiser,Mad About You,N
1995,Best Performance by an Actress In A Television Series - Drama,Claire Danes,My So-Called Life,W
1995,Best Performance by an Actress In A Television Series - Drama,Angela Lansbury,"Murder, She Wrote",N
1995,Best Performance by an Actress In A Television Series - Drama,Heather Locklear,Melrose Place,N
1995,Best Performance by an Actress In A Television Series - Drama,Jane Seymour,"Dr. Quinn, Medicine Woman",N
1995,Best Performance by an Actress In A Television Series - Drama,Kathy Baker,Picket Fences,N
1995,Best Performance by an Actress in a Limited Series or a Motion Picture Made for Television,Joanne Woodward,Breathing Lessons,W
1995,Best Performance by an Actress in a Limited Series or a Motion Picture Made for Television,Diana Ross,Out of Darkness,N
1995,Best Performance by an Actress in a Limited Series or a Motion Picture Made for Television,Diane Keaton,Amelia Earhart: The Final Flight,N
1995,Best Performance by an Actress in a Limited Series or a Motion Picture Made for Television,Irene Bedard,Lakota Woman: Siege at Wounded Knee,N
1995,Best Performance by an Actress in a Limited Series or a Motion Picture Made for Television,Kirstie Alley,David's Mother,N
1995,Best Performance by an Actress in a Motion Picture - Drama,Jessica Lange,Blue Sky,W
1995,Best Performance by an Actress in a Motion Picture - Drama,Jennifer Jason Leigh,Mrs. Parker and The Vicious Circle,N
1995,Best Performance by an Actress in a Motion Picture - Drama,Jodie Foster,Nell,N
1995,Best Performance by an Actress in a Motion Picture - Drama,Meryl Streep,The River Wild,N
1995,Best Performance by an Actress in a Motion Picture - Drama,Miranda Richardson,Tom & Viv,N
1995,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Jamie Lee Curtis,True Lies,W
1995,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Andie MacDowell,Four Weddings and a Funeral,N
1995,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Emma Thompson,Junior,N
1995,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Geena Davis,Speechless,N
1995,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Shirley MacLaine,Guarding Tess,N
1995,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Miranda Richardson,Fatherland,W
1995,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Jane Leeves,Frasier,N
1995,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Julia Louis-Dreyfus,Seinfeld,N
1995,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Laura Leighton,Melrose Place,N
1995,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Laurie Metcalf,Roseanne,N
1995,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Leigh Taylor-Young,Picket Fences,N
1995,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Liz Torres,The John Larroquette Show,N
1995,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Sonia Braga,The Burning Season,N
1995,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Tyne Daly,Christy,N
1995,Best Performance by an Actress in a Supporting Role in any Motion Picture,Dianne Wiest,Bullets Over Broadway,W
1995,Best Performance by an Actress in a Supporting Role in any Motion Picture,Kirsten Dunst,Interview with the Vampire (The Vampire Chronicles),N
1995,Best Performance by an Actress in a Supporting Role in any Motion Picture,Robin Wright,Forrest Gump,N
1995,Best Performance by an Actress in a Supporting Role in any Motion Picture,Sophia Loren,Ready to Wear,N
1995,Best Performance by an Actress in a Supporting Role in any Motion Picture,Uma Thurman,Pulp Fiction,N
1995,Best Performance by an Actress in a Television Series - Musical or Comedy,Helen Hunt,Mad About You,W
1995,Best Performance by an Actress in a Television Series - Musical or Comedy,Brett Butler,Grace Under Fire,N
1995,Best Performance by an Actress in a Television Series - Musical or Comedy,Candice Bergen,Murphy Brown,N
1995,Best Performance by an Actress in a Television Series - Musical or Comedy,Ellen DeGeneres,Ellen,N
1995,Best Performance by an Actress in a Television Series - Musical or Comedy,Patricia Richardson,Home Improvement,N
1995,Best Screenplay - Motion Picture,Quentin Tarantino,Pulp Fiction,W
1995,Best Screenplay - Motion Picture,Eric Roth,Forrest Gump,N
1995,Best Screenplay - Motion Picture,Frank Darabont,The Shawshank Redemption,N
1995,Best Screenplay - Motion Picture,Paul Attanasio,Quiz Show,N
1995,Best Screenplay - Motion Picture,Richard Curtis,Four Weddings and a Funeral,N
1994,Best Director - Motion Picture,Steven Spielberg,Schindler's List,W
1994,Best Director - Motion Picture,Andrew Davis,The Fugitive,N
1994,Best Director - Motion Picture,James Ivory,The Remains of the Day,N
1994,Best Director - Motion Picture,Jane Campion,The Piano,N
1994,Best Director - Motion Picture,Martin Scorsese,The Age of Innocence,N
1994,Best Performance by an Actor In A Television Series - Drama,David Caruso,NYPD Blue,W
1994,Best Performance by an Actor In A Television Series - Drama,Carroll O'Connor,In The Heat of the Night (TV),N
1994,Best Performance by an Actor In A Television Series - Drama,Michael Moriarty,Law & Order,N
1994,Best Performance by an Actor In A Television Series - Drama,Rob Morrow,Northern Exposure,N
1994,Best Performance by an Actor In A Television Series - Drama,Tom Skerritt,Picket Fences,N
1994,Best Performance by an Actor in a Limited Series or a Motion Picture Made for Television,James Garner,Barbarians at the Gate,W
1994,Best Performance by an Actor in a Limited Series or a Motion Picture Made for Television,Jack Lemmon,"Life in the Theatre, A",N
1994,Best Performance by an Actor in a Limited Series or a Motion Picture Made for Television,Matthew Modine,And the Band Played On,N
1994,Best Performance by an Actor in a Limited Series or a Motion Picture Made for Television,Peter Falk,Columbo: It's All In The Game,N
1994,Best Performance by an Actor in a Limited Series or a Motion Picture Made for Television,Peter Strauss,Men Don't Tell,N
1994,Best Performance by an Actor in a Motion Picture - Drama,Tom Hanks,Philadelphia,W
1994,Best Performance by an Actor in a Motion Picture - Drama,Anthony Hopkins,The Remains of the Day,N
1994,Best Performance by an Actor in a Motion Picture - Drama,Daniel Day-Lewis,In the Name of the Father,N
1994,Best Performance by an Actor in a Motion Picture - Drama,Harrison Ford,The Fugitive,N
1994,Best Performance by an Actor in a Motion Picture - Drama,Liam Neeson,Schindler's List,N
1994,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Robin Williams,Mrs. Doubtfire,W
1994,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Colm Meaney,The Snapper,N
1994,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Johnny Depp,Benny & Joon,N
1994,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Kevin Kline,Dave,N
1994,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Tom Hanks,Sleepless in Seattle,N
1994,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Beau Bridges,The Positively True Adventures of the Alleged Texas Cheerleader-Murdering Mom,W
1994,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Dennis Franz,NYPD Blue,N
1994,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Jason Alexander,Seinfeld,N
1994,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",John Mahoney,Frasier,N
1994,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Jonathan Pryce,Barbarians at the Gate,N
1994,Best Performance by an Actor in a Supporting Role in any Motion Picture,Tommy Lee Jones,The Fugitive,W
1994,Best Performance by an Actor in a Supporting Role in any Motion Picture,John Malkovich,In the Line of Fire,N
1994,Best Performance by an Actor in a Supporting Role in any Motion Picture,Leonardo DiCaprio,What's Eating Gilbert Grape,N
1994,Best Performance by an Actor in a Supporting Role in any Motion Picture,Ralph Fiennes,Schindler's List,N
1994,Best Performance by an Actor in a Supporting Role in any Motion Picture,Sean Penn,Carlito's Way,N
1994,Best Performance by an Actor in a Television Series - Musical or Comedy,Jerry Seinfeld,Seinfeld,W
1994,Best Performance by an Actor in a Television Series - Musical or Comedy,Craig T. Nelson,Coach,N
1994,Best Performance by an Actor in a Television Series - Musical or Comedy,Kelsey Grammer,Frasier,N
1994,Best Performance by an Actor in a Television Series - Musical or Comedy,Tim Allen,Home Improvement,N
1994,Best Performance by an Actor in a Television Series - Musical or Comedy,Will Smith,The Fresh Prince Of Bel-Air,N
1994,Best Performance by an Actress In A Television Series - Drama,Kathy Baker,Picket Fences,W
1994,Best Performance by an Actress In A Television Series - Drama,Heather Locklear,Melrose Place,N
1994,Best Performance by an Actress In A Television Series - Drama,Jane Seymour,"Dr. Quinn, Medicine Woman",N
1994,Best Performance by an Actress In A Television Series - Drama,Janine Turner,Northern Exposure,N
1994,Best Performance by an Actress In A Television Series - Drama,Sela Ward,Sisters,N
1994,Best Performance by an Actress in a Limited Series or a Motion Picture Made for Television,Bette Midler,Gypsy (1993-TV),W
1994,Best Performance by an Actress in a Limited Series or a Motion Picture Made for Television,Anjelica Huston,Family Pictures,N
1994,Best Performance by an Actress in a Limited Series or a Motion Picture Made for Television,Faye Dunaway,Columbo: It's All In The Game,N
1994,Best Performance by an Actress in a Limited Series or a Motion Picture Made for Television,Helena Bonham Carter,Fatal Deception: Mrs. Lee Harvey Oswald,N
1994,Best Performance by an Actress in a Limited Series or a Motion Picture Made for Television,Holly Hunter,The Positively True Adventures of the Alleged Texas Cheerleader-Murdering Mom,N
1994,Best Performance by an Actress in a Motion Picture - Drama,Holly Hunter,The Piano,W
1994,Best Performance by an Actress in a Motion Picture - Drama,Debra Winger,"Dangerous Woman, A",N
1994,Best Performance by an Actress in a Motion Picture - Drama,Emma Thompson,The Remains of the Day,N
1994,Best Performance by an Actress in a Motion Picture - Drama,Juliette Binoche,Three Colours: Blue (Trois couleurs: Bleu),N
1994,Best Performance by an Actress in a Motion Picture - Drama,Michelle Pfeiffer,The Age of Innocence,N
1994,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Angela Bassett,What's Love Got To Do With It,W
1994,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Anjelica Huston,Addams Family Values,N
1994,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Diane Keaton,Manhattan Murder Mystery,N
1994,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Meg Ryan,Sleepless in Seattle,N
1994,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Stockard Channing,Six Degrees of Separation,N
1994,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Julia Louis-Dreyfus,Seinfeld,W
1994,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Ann-Margret,Alex Haley's Queen,N
1994,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Cecilia Peck,The Portrait,N
1994,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Cynthia Gibb,Gypsy (1993-TV),N
1994,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Theresa Saldana,The Commish,N
1994,Best Performance by an Actress in a Supporting Role in any Motion Picture,Winona Ryder,The Age of Innocence,W
1994,Best Performance by an Actress in a Supporting Role in any Motion Picture,Anna Paquin,The Piano,N
1994,Best Performance by an Actress in a Supporting Role in any Motion Picture,Emma Thompson,In the Name of the Father,N
1994,Best Performance by an Actress in a Supporting Role in any Motion Picture,Penelope Ann Miller,Carlito's Way,N
1994,Best Performance by an Actress in a Supporting Role in any Motion Picture,Rosie Perez,Fearless,N
1994,Best Performance by an Actress in a Television Series - Musical or Comedy,Helen Hunt,Mad About You,W
1994,Best Performance by an Actress in a Television Series - Musical or Comedy,Candice Bergen,Murphy Brown,N
1994,Best Performance by an Actress in a Television Series - Musical or Comedy,Katey Sagal,Married With Children,N
1994,Best Performance by an Actress in a Television Series - Musical or Comedy,Patricia Richardson,Home Improvement,N
1994,Best Performance by an Actress in a Television Series - Musical or Comedy,Roseanne Barr,Roseanne,N
1994,Best Screenplay - Motion Picture,Steven Zaillian,Schindler's List,W
1994,Best Screenplay - Motion Picture,Jane Campion,The Piano,N
1994,Best Screenplay - Motion Picture,Robert Altman,Short Cuts,N
1994,Best Screenplay - Motion Picture,Ron Nyswaner,Philadelphia,N
1994,Best Screenplay - Motion Picture,Ruth Prawer Jhabvala,The Remains of the Day,N
1993,Best Director - Motion Picture,Clint Eastwood,Unforgiven,W
1993,Best Director - Motion Picture,James Ivory,Howards End,N
1993,Best Director - Motion Picture,Rob Reiner,"Few Good Men, A",N
1993,Best Director - Motion Picture,Robert Altman,The Player,N
1993,Best Director - Motion Picture,Robert Redford,"River Runs Through It, A",N
1993,Best Performance by an Actor In A Television Series - Drama,Sam Waterston,I'll Fly Away,W
1993,Best Performance by an Actor In A Television Series - Drama,Jason Priestley,"Beverly Hills, 90210",N
1993,Best Performance by an Actor In A Television Series - Drama,Mark Harmon,Reasonable Doubts,N
1993,Best Performance by an Actor In A Television Series - Drama,Rob Morrow,Northern Exposure,N
1993,Best Performance by an Actor In A Television Series - Drama,Scott Bakula,Quantum Leap,N
1993,Best Performance by an Actor in a Limited Series or a Motion Picture Made for Television,Robert Duvall,Stalin,W
1993,Best Performance by an Actor in a Limited Series or a Motion Picture Made for Television,Anthony Andrews,Danielle Steel's Jewels,N
1993,Best Performance by an Actor in a Limited Series or a Motion Picture Made for Television,James Woods,Citizen Cohn,N
1993,Best Performance by an Actor in a Limited Series or a Motion Picture Made for Television,Jon Voight,The Last of His Tribe,N
1993,Best Performance by an Actor in a Limited Series or a Motion Picture Made for Television,Philip Casnoff,Sinatra,N
1993,Best Performance by an Actor in a Motion Picture - Drama,Al Pacino,Scent of a Woman,W
1993,Best Performance by an Actor in a Motion Picture - Drama,Denzel Washington,Malcolm X,N
1993,Best Performance by an Actor in a Motion Picture - Drama,Jack Nicholson,Hoffa,N
1993,Best Performance by an Actor in a Motion Picture - Drama,Robert Downey Jr.,Chaplin,N
1993,Best Performance by an Actor in a Motion Picture - Drama,Tom Cruise,"Few Good Men, A",N
1993,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Tim Robbins,The Player,W
1993,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Billy Crystal,Mr. Saturday Night,N
1993,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Marcello Mastroianni,Used People,N
1993,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Nicolas Cage,Honeymoon In Vegas,N
1993,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Tim Robbins,Bob Roberts,N
1993,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Maximilian Schell,Stalin,W
1993,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Dean Stockwell,Quantum Leap,N
1993,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Earl Holliman,Delta,N
1993,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Hume Cronyn,Broadway Bound,N
1993,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Jason Alexander,Seinfeld,N
1993,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",John Corbett,Northern Exposure,N
1993,Best Performance by an Actor in a Supporting Role in any Motion Picture,Gene Hackman,Unforgiven,W
1993,Best Performance by an Actor in a Supporting Role in any Motion Picture,Al Pacino,Glengarry Glen Ross,N
1993,Best Performance by an Actor in a Supporting Role in any Motion Picture,Chris O'Donnell,Scent of a Woman,N
1993,Best Performance by an Actor in a Supporting Role in any Motion Picture,David Paymer,Mr. Saturday Night,N
1993,Best Performance by an Actor in a Supporting Role in any Motion Picture,Jack Nicholson,"Few Good Men, A",N
1993,Best Performance by an Actor in a Television Series - Musical or Comedy,John Goodman,Roseanne,W
1993,Best Performance by an Actor in a Television Series - Musical or Comedy,Burt Reynolds,Evening Shade,N
1993,Best Performance by an Actor in a Television Series - Musical or Comedy,Craig T. Nelson,Coach,N
1993,Best Performance by an Actor in a Television Series - Musical or Comedy,Ed O'Neill,Married With Children,N
1993,Best Performance by an Actor in a Television Series - Musical or Comedy,Ted Danson,Cheers,N
1993,Best Performance by an Actor in a Television Series - Musical or Comedy,Tim Allen,Home Improvement,N
1993,Best Performance by an Actor in a Television Series - Musical or Comedy,Will Smith,The Fresh Prince Of Bel-Air,N
1993,Best Performance by an Actress In A Television Series - Drama,Regina Taylor,I'll Fly Away,W
1993,Best Performance by an Actress In A Television Series - Drama,Angela Lansbury,"Murder, She Wrote",N
1993,Best Performance by an Actress In A Television Series - Drama,Janine Turner,Northern Exposure,N
1993,Best Performance by an Actress In A Television Series - Drama,Mariel Hemingway,Civil Wars,N
1993,Best Performance by an Actress In A Television Series - Drama,Marlee Matlin,Reasonable Doubts,N
1993,Best Performance by an Actress in a Limited Series or a Motion Picture Made for Television,Laura Dern,Afterburn,W
1993,Best Performance by an Actress in a Limited Series or a Motion Picture Made for Television,Drew Barrymore,Guncrazy,N
1993,Best Performance by an Actress in a Limited Series or a Motion Picture Made for Television,Jessica Lange,"O, Pioneers!",N
1993,Best Performance by an Actress in a Limited Series or a Motion Picture Made for Television,Katharine Hepburn,The Man Upstairs,N
1993,Best Performance by an Actress in a Limited Series or a Motion Picture Made for Television,Kyra Sedgwick,Miss Rose White,N
1993,Best Performance by an Actress in a Motion Picture - Drama,Emma Thompson,Howards End,W
1993,Best Performance by an Actress in a Motion Picture - Drama,Mary McDonnell,Passion Fish,N
1993,Best Performance by an Actress in a Motion Picture - Drama,Michelle Pfeiffer,Love Field,N
1993,Best Performance by an Actress in a Motion Picture - Drama,Sharon Stone,Basic Instinct,N
1993,Best Performance by an Actress in a Motion Picture - Drama,Susan Sarandon,Lorenzo's Oil,N
1993,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Miranda Richardson,Enchanted April,W
1993,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Geena Davis,"League of Their Own, A",N
1993,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Meryl Streep,Death Becomes Her,N
1993,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Shirley MacLaine,Used People,N
1993,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Whoopi Goldberg,Sister Act,N
1993,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Joan Plowright,Stalin,W
1993,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Amanda Plummer,Miss Rose White,N
1993,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Gena Rowlands,Crazy In Love,N
1993,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Laurie Metcalf,Roseanne,N
1993,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Olympia Dukakis,Sinatra,N
1993,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Park Overall,Empty Nest,N
1993,Best Performance by an Actress in a Supporting Role in any Motion Picture,Joan Plowright,Enchanted April,W
1993,Best Performance by an Actress in a Supporting Role in any Motion Picture,Alfre Woodard,Passion Fish,N
1993,Best Performance by an Actress in a Supporting Role in any Motion Picture,Geraldine Chaplin,Chaplin,N
1993,Best Performance by an Actress in a Supporting Role in any Motion Picture,Judy Davis,Husbands and Wives,N
1993,Best Performance by an Actress in a Supporting Role in any Motion Picture,Miranda Richardson,Damage,N
1993,Best Performance by an Actress in a Television Series - Musical or Comedy,Roseanne Barr,Roseanne,W
1993,Best Performance by an Actress in a Television Series - Musical or Comedy,Candice Bergen,Murphy Brown,N
1993,Best Performance by an Actress in a Television Series - Musical or Comedy,Helen Hunt,Mad About You,N
1993,Best Performance by an Actress in a Television Series - Musical or Comedy,Katey Sagal,Married With Children,N
1993,Best Performance by an Actress in a Television Series - Musical or Comedy,Kirstie Alley,Cheers,N
1993,Best Screenplay - Motion Picture,Bo Goldman,Scent of a Woman,W
1993,Best Screenplay - Motion Picture,Aaron Sorkin,"Few Good Men, A",N
1993,Best Screenplay - Motion Picture,David Webb Peoples,Unforgiven,N
1993,Best Screenplay - Motion Picture,"Few Good Men, A",,N
1993,Best Screenplay - Motion Picture,Michael Tolkin,The Player,N
1993,Best Screenplay - Motion Picture,Ruth Prawer Jhabvala,Howards End,N
1992,Best Director - Motion Picture,Oliver Stone,JFK,W
1992,Best Director - Motion Picture,Barbra Streisand,The Prince of Tides,N
1992,Best Director - Motion Picture,Barry Levinson,Bugsy,N
1992,Best Director - Motion Picture,Jonathan Demme,The Silence of the Lambs,N
1992,Best Director - Motion Picture,Terry Gilliam,The Fisher King,N
1992,Best Performance by an Actor In A Television Series - Drama,Scott Bakula,Quantum Leap,W
1992,Best Performance by an Actor In A Television Series - Drama,Carroll O'Connor,In The Heat of the Night (TV),N
1992,Best Performance by an Actor In A Television Series - Drama,James Earl Jones,Pros & Cons,N
1992,Best Performance by an Actor In A Television Series - Drama,Mark Harmon,Reasonable Doubts,N
1992,Best Performance by an Actor In A Television Series - Drama,Rob Morrow,Northern Exposure,N
1992,Best Performance by an Actor In A Television Series - Drama,Sam Waterston,I'll Fly Away,N
1992,Best Performance by an Actor in a Limited Series or a Motion Picture Made for Television,Beau Bridges,Without Warning: The James Brady Story,W
1992,Best Performance by an Actor in a Limited Series or a Motion Picture Made for Television,Peter Falk,Columbo and The Murder Of a Rock Star,N
1992,Best Performance by an Actor in a Limited Series or a Motion Picture Made for Television,Sam Elliott,Conagher,N
1992,Best Performance by an Actor in a Limited Series or a Motion Picture Made for Television,Sam Neill,One Against The Wind,N
1992,Best Performance by an Actor in a Limited Series or a Motion Picture Made for Television,Sidney Poitier,Separate But Equal,N
1992,Best Performance by an Actor in a Motion Picture - Drama,Nick Nolte,The Prince of Tides,W
1992,Best Performance by an Actor in a Motion Picture - Drama,Anthony Hopkins,The Silence of the Lambs,N
1992,Best Performance by an Actor in a Motion Picture - Drama,Kevin Costner,JFK,N
1992,Best Performance by an Actor in a Motion Picture - Drama,Robert De Niro,Cape Fear,N
1992,Best Performance by an Actor in a Motion Picture - Drama,Warren Beatty,Bugsy,N
1992,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Robin Williams,The Fisher King,W
1992,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Billy Crystal,City Slickers,N
1992,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Dustin Hoffman,Hook,N
1992,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Jeff Bridges,The Fisher King,N
1992,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Kevin Kline,Soapdish,N
1992,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Louis Gossett Jr.,The Josephine Baker Story,W
1992,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Dean Stockwell,Quantum Leap,N
1992,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Larry Drake,L.A. Law,N
1992,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Michael Jeter,Evening Shade,N
1992,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Richard Kiley,Separate But Equal,N
1992,Best Performance by an Actor in a Supporting Role in any Motion Picture,Jack Palance,City Slickers,W
1992,Best Performance by an Actor in a Supporting Role in any Motion Picture,Ben Kingsley,Bugsy,N
1992,Best Performance by an Actor in a Supporting Role in any Motion Picture,Harvey Keitel,Bugsy,N
1992,Best Performance by an Actor in a Supporting Role in any Motion Picture,John Goodman,Barton Fink,N
1992,Best Performance by an Actor in a Supporting Role in any Motion Picture,Ned Beatty,Hear My Song,N
1992,Best Performance by an Actor in a Television Series - Musical or Comedy,Burt Reynolds,Evening Shade,W
1992,Best Performance by an Actor in a Television Series - Musical or Comedy,Craig T. Nelson,Coach,N
1992,Best Performance by an Actor in a Television Series - Musical or Comedy,Ed O'Neill,Married With Children,N
1992,Best Performance by an Actor in a Television Series - Musical or Comedy,Neil Patrick Harris,"Doogie Howser, M.D.",N
1992,Best Performance by an Actor in a Television Series - Musical or Comedy,Ted Danson,Cheers,N
1992,Best Performance by an Actress In A Television Series - Drama,Angela Lansbury,"Murder, She Wrote",W
1992,Best Performance by an Actress In A Television Series - Drama,Janine Turner,Northern Exposure,N
1992,Best Performance by an Actress In A Television Series - Drama,Marlee Matlin,Reasonable Doubts,N
1992,Best Performance by an Actress In A Television Series - Drama,Sharon Gless,The Trials Of Rosie O'Neill,N
1992,Best Performance by an Actress In A Television Series - Drama,Susan Dey,L.A. Law,N
1992,Best Performance by an Actress in a Limited Series or a Motion Picture Made for Television,Judy Davis,One Against The Wind,W
1992,Best Performance by an Actress in a Limited Series or a Motion Picture Made for Television,Glenn Close,"Sarah, Plain and Tall",N
1992,Best Performance by an Actress in a Limited Series or a Motion Picture Made for Television,Jessica Tandy,The Story Lady,N
1992,Best Performance by an Actress in a Limited Series or a Motion Picture Made for Television,Lynn Whitfield,The Josephine Baker Story,N
1992,Best Performance by an Actress in a Limited Series or a Motion Picture Made for Television,Sally Kirkland,The Haunted,N
1992,Best Performance by an Actress in a Motion Picture - Drama,Jodie Foster,The Silence of the Lambs,W
1992,Best Performance by an Actress in a Motion Picture - Drama,Annette Bening,Bugsy,N
1992,Best Performance by an Actress in a Motion Picture - Drama,Geena Davis,Thelma & Louise,N
1992,Best Performance by an Actress in a Motion Picture - Drama,Laura Dern,Rambling Rose,N
